family,continent,continent_reference,first origin time (mya),time_reference,notes,,,,,
Hystricidae,Eurasia,60,,,SE asia,,,,,
Indridae,Insular,61,,,,,,,,
Iniidae,Amazon river,62,,,due to andean uplift,,,,,
Lemuridae,Insular,61,,,,,,,,
Lepilemuridae,Insular,61,,,,,,,,
Leporidae,North America,63,late Miocene-late Pliocene,14,,,,,,
Lorisidae,Africa,64,40,15,,,,,,
Macraucheniidae,South America,65,,,,,,,,
Macropodidae,Australia,66,25,16,northern South Australia,,,,,
Macroscelididae,Africa,67,45.6,"17; 18
",,,,,,
Mammutidae,Africa,68,27-24,19,Kenya,,,,,
Manidae,Eurasia,69,Eocene,20,,,,,,
Megadermatidae,Eurasia,70,,,,,,,,
Megaladapidae,Insular,71,,,Madagascar,,,,,
Megalonychidae,South America,49,,,maybe North America (from central tropics),,,,,
Megatheriidae,South America,4,,,,,,,,
Mephitidae,Eurasia,72,,,,,,,,
Microbiotheriidae,South America,59; 73,,,oldest fossil is known from Antartica Eocene,,,,,
Molossidae,,,54-43,21,"Originated in Eurasia or Africa; Ammerman, L.K., Lee, D.N. and Tipps, T.M., 2012. First molecular phylogenetic insights into the evolution of free-tailed bats in the subfamily Molossinae (Molossidae, Chiroptera). Journal of Mammalogy, 93(1), pp.12-28.",,,,,
Monodontidae,Pacific,62,,,earliest record from east pacific; now only reside in actic; lknown also from atlantic subarctic records,,,,,
Mormoopidae,North America,74; 75; 79,32,22,,,,,,bats
Moschidae,,,,,"North America or Eurasia; Hassanin, A. and Douzery, E.J., 2003. Molecular and morphological phylogenies of Ruminantia and the alternative position of the Moschidae. Systematic biology, 52(2), pp.206-228.",,,,,
Muridae,,,,,"either Africa, Eurasia, or Insular (Philippines); Aghová, T., Kimura, Y., Bryja, J., Dobigny, G., Granjon, L. and Kergoat, G.J., 2018. Fossils know it best: using a new set of fossil calibrations to improve the temporal phylogenetic framework of murid rodents (Rodentia: Muridae). Molecular Phylogenetics and Evolution, 128, pp.98-111.",,,,,
Mustelidae,Eurasia,76,Late Oligocene,23,,,,,,
Mylodontidae,South America,77,,,,,,,,
Myocastoridae,South America,51,Oligocene,8,,,,,,
Myrmecobiidae,Australia,33,,,,,,,,
Myrmecophagidae,South America,12,,,,,,,,
Mystacinidae,Australia,78,,,,,,,,
Myzopodidae,Africa,80,,,,,,,,
Nandiniidae,,,34.4–31.1,24,Likely Africa,,,,,
Natalidae,North America,79; 81,,,,,,,,bats
Neobalaenidae,,,,,not enough fossils; now endemic to southern oceans,,,,,
Nesomyidae,Africa,51,,,,,,,,
Nesophontidae,Insular,82,,,West Indies,,,,,
Noctilionidae,South America,79,,,,,,,,bats
Nothrotheriidae,North America,49,,,,,,,,
Notoryctidae,Australia,83,,,,,,,,
Nycteridae,,,,,"Originated in the ""Old World""",,,,,
Ochotonidae,Eurasia,84,,,,,,,,
Octodontidae,South America,1; 51,,,,,,,,
Odobenidae,North Pacific,85,,,walruses; Many fossils found from the Pacific (western USA),,,,,
Ornithorhynchidae,Australia,86; 115,,,,,,,,
Orycteropodidae,Africa,37; 87,,,,,,,,
Otariidae,North America,85,,,,,,,,
Palaeopropithecidae,Insular (Madagascar),88,20.8 +/- 3.6,25,,,,,,
Pedetidae,Africa,89; 114,,,,,,,,
Peramelidae,Australia,33,,,,,,,,
Petauridae,Australia,33,25.715,37,,,,,,
Petromuridae,Africa,90,,,,,,,,
Phalangeridae,Australia,33,,,,,,,,
Phascolarctidae,Australia,33,25.715,37,,,,,,
Phocidae,North America,85,,,,,,,,
Phocoenidae,,,,,,,,,,
Phyllostomidae,South America,79,,,,,,,,
Physeteridae,,,,,,,,,,
Pitheciidae,South America,91,20.2,26,,,,,,
Platacanthomyidae,Eurasia,92,,,,,,,,
Platanistidae,North Atlantic,93,16.5-16.7,27,,,,,,
Plesiorycteropodidae,Insular (Madagascar),94,,,,,,,,
Potoroidae,Australia,95,,,,,,,,
Procaviidae,Africa,37,,,,,,,,
Procyonidae,Eurasia,96,20,28,,,,,,
Prolagidae,Eurasia,97,,,,,,,,
Pseudocheiridae,Australia,33,25.715,37,,,,,,
Pteropodidae,Eurasia,98,26,29,,,,,,
Ptilocercidae,Eurasia,99,60.19,30,,,,,,
Rhinocerotidae,North America,100; 109,51,31,,,,,,
Rhinolophidae,Eurasia,101,,,,,,,,
Rhinopomatidae,Eurasia,70,,,,,,,,
Sciuridae,,,,,"Oldest fossils in North America, but some hypotheses point to Eurasia as the origin. Still unresolved.","Rocha, R.G., Leite, Y.L.R., Costa, L.P. and Rojas, D., 2016. Independent reversals to terrestriality in squirrels (Rodentia: Sciuridae) support ecologically mediated modes of adaptation. Journal of evolutionary biology, 29(12), pp.2471-2479.",,,,
Solenodontidae,Insular,102,43.6-68.6,32,"note: thought to have diverged from North America ancestor, but think Solenodontidae and Nesophontidae likely evolved on Caribbean islands",,,,,
Soricidae,Eurasia,103,,,,,,,,
Spalacidae,Eurasia,104,,,,,,,,
Stegodontidae,Africa,105,,,,,,,,
Suidae,Eurasia,106,35,33,,note: we might want to find a second reference as I could not access the original reference cited by this paper,,,,
Tachyglossidae,Australia,107; 108,,,,,,,,
Talpidae,Eurasia,110,,,,,,,,
Tapiridae,North America,109,51,31,,,,,,
Tarsiidae,Eurasia,111,45,34,,,,,,
Tarsipedidae,Australia,33,,,,,,,,
Tayassuidae,Eurasia,112; 113,,,,,,,,
Tenrecidae,Africa,23,,,,,,,,
Thryonomyidae,Africa,116,,,,,,,,
Thylacinidae,Australia,33,25.715,37,,,,,,
Thylacoleonidae,Australia,33,,,,,,,,
Thylacomyidae,Australia,33,,,,,,,,
Thyropteridae,South America,79,,,,,,,,
Toxodontidae,South America,117,,,,,,,,
Tragulidae,Africa,118,19-20,35,,,,,,
Trichechidae,Africa,37,,,,,,,,
Tupaiidae,Eurasia,119; 120,16.19,30,,,,,,
Ursidae,North America,121; 122,37,36,,,,,,
Vespertilionidae,North America,79,,,,,,,,
Viverridae,Eurasia,123,,,,,,,,
Vombatidae,Australia,124,25.715,37,,,,,,
Ziphiidae,Southern Oceans,,,,,,,,,
